timestamp_utc,land,ride_id,ride_name,is_open,wait_time
2026-07-31T01:00:06+00:00,Sea of Delight,5954,Sky Tower,True,0
2026-07-31T01:00:06+00:00,Sea of Ice,14941,Penguin Trek,True,15
2026-07-31T01:00:06+00:00,Sea of Legends,6573,Journey to Atlantis,True,5
2026-07-31T01:00:06+00:00,Sea of Legends,6570,Kraken®,True,5
2026-07-31T01:00:06+00:00,Sea of Mystery,5958,Flamingo Paddle Boats,True,0
2026-07-31T01:00:06+00:00,Sea of Mystery,6571,Mako®,False,0
2026-07-31T01:00:06+00:00,Sea of Power,16542,ALL NEW! - Expedition Odyssey Fire & Ice,True,5
2026-07-31T01:00:06+00:00,Sea of Power,10769,Ice Breaker,False,0
2026-07-31T01:00:06+00:00,Sea of Power,11876,Pipeline: The Surf Coaster,False,0
2026-07-31T01:00:06+00:00,Sea of Shallows,6569,Manta,True,15
2026-07-31T01:00:06+00:00,Sesame Street,6452,Abby's Flower Tower,True,0
2026-07-31T01:00:06+00:00,Sesame Street,6447,Cookie Drop,False,0
2026-07-31T01:00:06+00:00,Sesame Street,6448,Elmo's Choo Choo Train,True,0
2026-07-31T01:00:06+00:00,Sesame Street,6451,Slimey's Slider,True,15
2026-07-31T01:00:06+00:00,Sesame Street,10421,Sunny Day Carousel,True,0
2026-07-31T01:00:06+00:00,Sesame Street,6449,Super Grover's Box Car Derby,True,0
2026-07-31T01:00:06+00:00,Sea of Fun,6572,Infinity Falls®,True,20
2026-07-31T01:13:21+00:00,Sea of Delight,5954,Sky Tower,True,0
2026-07-31T01:13:21+00:00,Sea of Ice,14941,Penguin Trek,True,15
2026-07-31T01:13:21+00:00,Sea of Legends,6573,Journey to Atlantis,True,5
2026-07-31T01:13:21+00:00,Sea of Legends,6570,Kraken®,True,0
2026-07-31T01:13:21+00:00,Sea of Mystery,5958,Flamingo Paddle Boats,True,0
2026-07-31T01:13:21+00:00,Sea of Mystery,6571,Mako®,False,0
2026-07-31T01:13:21+00:00,Sea of Power,16542,ALL NEW! - Expedition Odyssey Fire & Ice,True,5
2026-07-31T01:13:21+00:00,Sea of Power,10769,Ice Breaker,False,0
2026-07-31T01:13:21+00:00,Sea of Power,11876,Pipeline: The Surf Coaster,False,0
2026-07-31T01:13:21+00:00,Sea of Shallows,6569,Manta,True,5
2026-07-31T01:13:21+00:00,Sesame Street,6452,Abby's Flower Tower,True,0
2026-07-31T01:13:21+00:00,Sesame Street,6447,Cookie Drop,False,0
2026-07-31T01:13:21+00:00,Sesame Street,6448,Elmo's Choo Choo Train,True,0
2026-07-31T01:13:21+00:00,Sesame Street,6451,Slimey's Slider,True,15
2026-07-31T01:13:21+00:00,Sesame Street,10421,Sunny Day Carousel,True,0
2026-07-31T01:13:21+00:00,Sesame Street,6449,Super Grover's Box Car Derby,True,0
2026-07-31T01:13:21+00:00,Sea of Fun,6572,Infinity Falls®,True,5
2026-07-31T02:36:43+00:00,Sea of Delight,5954,Sky Tower,True,0
2026-07-31T02:36:43+00:00,Sea of Ice,14941,Penguin Trek,True,15
2026-07-31T02:36:43+00:00,Sea of Legends,6573,Journey to Atlantis,True,0
2026-07-31T02:36:43+00:00,Sea of Legends,6570,Kraken®,True,0
2026-07-31T02:36:43+00:00,Sea of Mystery,5958,Flamingo Paddle Boats,True,0
2026-07-31T02:36:43+00:00,Sea of Mystery,6571,Mako®,False,0
2026-07-31T02:36:43+00:00,Sea of Power,16542,ALL NEW! - Expedition Odyssey Fire & Ice,True,5
2026-07-31T02:36:43+00:00,Sea of Power,10769,Ice Breaker,False,0
2026-07-31T02:36:43+00:00,Sea of Power,11876,Pipeline: The Surf Coaster,False,0
2026-07-31T02:36:43+00:00,Sea of Shallows,6569,Manta,True,0
2026-07-31T02:36:43+00:00,Sesame Street,6452,Abby's Flower Tower,True,0
